V4_TIPUSSORTIDA_2,V5_SORTIDA_ESGLAONADA,V6_PROBLEMATICA_DROGUES,V7_PROBLEMÀTICA_SALUTMENTAL_DROGUES,V8_SEGREGACIÓ_REGIMTANCAT,V9_REINGRES_ANTERIOR,V11_CLAS_86_4,V12_CLAS_UD,V13_TIPUSLC,V14_ACCES_LC,V18_SEXE,V19_ESTRANGERS,V20_AREAGEOG,V21_RESIDENCIA,V22_ESTUDIS,V23_CATALA,V24_CASTELLA,V25_FILLS_AGRUPADA,V26_EXPULSIO,V27_EDAT_PB_AGRUPADA,V28_EDAT_SORTIDAPB_AGRUPADA,V29_R3C_F16_DesajustInfantil,V30_R3C_F18_NivellEducatiu,V31_R3C_F19_ProblemesOcupacio,V32_R3C_F20_MancaRecursosEconomics,V33_R3C_F21_AbsenciaPlansFutur,V34_R3C_F22_AntecedentsFamilia,V35_R3C_F23_SocialitzacioProblematica,V36_R3C_F24_MancaSuportFamiliarSocial,V37_R3C_F25_PertinençaBandes,V38_R3C_F26_PertinençaGrupRisc,V39_R3C_F27_RolDelictiuDestacat,V40_R3C_F28_VictimaVIGE,V41_R3C_F29_CarreguesFamiliars,V42_R3C_F30_ConsumDrogues,V43_R3C_F31_ConsumAlcohol,V44_R3C_F32_TranstornMentalSever,V45_R3C_F33_ComportamentSexualRisc,V46_R3C_F34_RespostaLimitadaTractament,V47_R3C_F35_TranstornPersonalitat,V48_R3C_F36_PobreAfrontamentEstres,V49_R3C_F37_IntentsAutolesio,V50_R3C_F38_ActitudsProcriminals,V51_R3C_F39_BaixCI,V52_R3C_F40_Temeritat,V53_R3C_F41_Impulsivitat,V54R3C_F42_Hostilitat,V55_R3C_F43_Irresponsabilitat,V56_R3C_F19_ProblemesOcupacio_dico,V57_R3C_F20_MancaRecursosEconomics_dico,V58_R3C_F21_AbsenciaPlansFutur_dico,V59_R3C_F24_MancaSuportFamiliarSocial_dico,V60_R3C_F30_ConsumDrogues_dico,V61_R3C_F31_ConsumAlcohol_dico,V62_R3C_F34_RespostaLimitadaTractament_dico,V63_R3C_F36_PobreAfrontamentEstres_dico,V64_R3C_F40_Temeritat_dico,V65_R3C_F41_Impulsivitat_dico,V66_R3C_F42_Hostilitat_dico,V67_R3C_F43_Irresponsabilitat_dico,V68_DROGUES_RISCANVI,V69_DELICTEPB,V70_DELICTEPBCAT,V71_DELICTEPBCAT_NOVA,V72_DELICTEPBVIOL,V73_DELICTES_ACUMULATS,V74_RESPCIVIL,V75_OPV,V76_R3C_F03_IntoxicacioDelicteBase,V77_R3C_F04_VictimesLesions,V78_R3C_F07_HistoriaViolencia,V79_R3C_F08_IniciActivitatDelictiva,V80_R3C_F09_IncrementGravetatDelictes,V81_LLP,V82_INGRESPENAT,V83_CLAS_INICIAL,V84_INGRESANTERIOR,V85_INGRESANTERIOR_AGRUPADA,V86_DURADA_PENA_RisCanvi,V87_DURADA_PENA_PENITENCIARI,V88_DURADA_PENA_ESTUDISANTER,V89_TEMPSCONDEMNA_ANUAL,V90_PERMISOS,V91_SORTIDES_100_2,V92_INCIDENTS,V93_EXPEDIENTS,V94_EXP_MOLTGREU,V95_EXP_GREU,V96_REGRESSIONS,V97_UBICA_SUPERVISIO,V98_UBICA_INFERMERIA,V99_UBICA_PSIQUIATRIA,V100_CLASSIFICACIONS,V101_REGRESSIONS_1RGRAU,V102_REGRESSIONS_2GRAU,V103_TERCERGRAU,V104_R3C_F10_ConflictesAmbInterns,V105_R3C_F11_IncomplimentsMesures,V106_R3C_F12_ExpedientsDisciplinaris,V107_R3C_F13_EvasionsFugues,V108_R3C_F14_RegressioGrau,V109_R3C_F15_TrencamentPermisos,V110_R3C_F10_ConflictesAmbInterns_dico,V111_R3C_F11_IncomplimentsMesures_dico,V112_R3C_F12_ExpedientsDisciplinaris_dico,V113_R3C_F13_EvasionsFugues_dico,V114_R3C_F14_RegressioGrau_dico,V115_R3C_F15_TrencamentPermisos_dico,V116_TRACTAMENT_VIOLÈNCIES,V117_TRACTAMENT,V118_TRACTAMENT_TIPUS,V119_TRACTAMENT_SAC,V120_TRACTAMENT_VIGE,V121_TRACTAMENT_DEVI,V122_TRACTAMENT_DROGUES,V123_TRACTAMENT_TRANSIT,V132_TEMPSCONDEMNA_TOTAL,V133_TEMPSFINS_1rPermís,V134_TEMPSFINS_3rGrau,V135_TEMPSFINS_LC,V136_TEMPSFINS_86.4,V137_TEMPSFINS_UD,V138_EDAT_1RINGRÉS,V139_EDAT_DELICTEPBASE,V140_EDAT_PENABASE,V141_EDAT_SORTIDAPBASE,V146_N_FILLS,V147_NCLAS_DIFERENT,V148_NINGRESANTERIOR,V150_NREGRESSIONS,V151_NREGRESSIONS1R,V152_NREGRESSIONS2N,V153_N_UBICA_MODULS,V154_N_UBICA_SUPERVISIO,V155_N_UBICA_INFERMERIA,V156_N_UBICA_PSIQUIATRIA,V157_N_EXPEDIENTS_MLTGREU,V158_N_EXPEDIENTS_GREU,V159_HORES_ACTIVITATS_TRACTAMENT,V160_H_ANIMACIÓSOCIOCULTURAL,V161_H_OPERARI_AUXOFICINA,V162_H_EDUCACIOREGLADA,V163_H_ESPORT,V164_H_FORMACIOOCUPACIONAL,V165_H_TRACTAMENT_TRANSIT,V166_H_CONDUCTESADDICTIVES,V167_H_SALUTMENTAL,V168_H_EMOCIONAL_IMPULSOS,V189_NACIONALITAT,V190_MUNICIPI,V191_COMARCA,V192_PROVINCIA,V193_ESTUDIS,V194_INSTRUCCIO
3,6.0,0.0,0.0,0,2,1,0,9,0,2,1,1,1,3,2,2,1,9,3.0,3.0,2,2,3,3,3,3,3,3,2,2,2,2,2,3,3,2,1,3,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,9189,2,3,1,4,2,2,2,0,2,3,2,2,3,3,2,4,2.0,2.0,2.0,3.0,1,0,2,2,2,2,2,2,2,2,1,3,2,1,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,0,1460.0,6.986301369863014,6.712328767123288,-1.0,29.246575342465754,-1.0,46.0,52.0,52.0,56.0,1,0,0,0,0,0,3,0,0,0,0,0,142.0,0.0,0.0,0.0,6.0,136.0,0.0,0.0,0.0,0.0,Espanya,Tarragona,Tarragonès,Tarragona,5,Educació secundària 2
2,2.0,1.0,0.0,0,1,0,0,9,0,1,1,1,1,2,1,2,0,9,2.0,2.0,1,1,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,3,2,1,2,1,2,1,1,1,2,2,2,2,1,1,9147,1,1,1,4,1,2,2,1,1,2,2,2,3,2,1,2,1.0,1.0,1.0,1.0,0,0,2,2,2,2,2,2,1,2,1,3,2,0,3,3,2,3,3,3,2,2,1,2,2,2,0,0,9,0,0,0,0,0,180.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,31.0,31.0,32.0,0,0,3,0,0,0,3,0,2,0,0,0,174.0,0.0,0.0,0.0,80.0,38.0,0.0,48.0,0.0,8.0,Espanya,Badalona,Barcelonès,Barcelona,4,Formació intrumental 3
5,0.0,0.0,0.0,0,1,0,0,9,0,1,2,3,1,2,0,1,0,1,2.0,2.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9623,3,5,2,4,2,2,9,9,9,9,9,2,1,0,1,1,1.0,1.0,1.0,1.0,0,0,2,2,2,2,2,2,2,2,1,3,2,0,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,0,0,0,0,0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,45.0,45.0,45.0,0,0,37,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Macedònia,Barcelona,Barcelonès,Barcelona,4,Formació intrumental 3
5,0.0,0.0,0.0,0,1,0,0,9,0,1,1,1,1,2,2,2,1,9,1.0,1.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9623,3,5,2,4,2,2,9,9,9,9,9,2,1,0,1,2,1.0,1.0,1.0,1.0,0,0,2,2,2,2,2,2,1,2,1,3,2,0,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,0,0,0,0,0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,27.0,27.0,27.0,1,0,5,0,0,0,3,0,1,0,0,0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Espanya,Barcelona,Barcelonès,Barcelona,4,Formació intrumental 3
2,2.0,0.0,0.0,0,2,0,0,9,0,1,1,1,1,3,1,2,1,9,2.0,2.0,2,1,2,3,3,2,2,3,2,2,2,2,1,3,3,2,2,3,2,2,3,2,2,3,3,2,2,1,2,2,2,2,2,2,1,2,2,1,1,0,9384,5,7,2,4,2,2,2,0,1,2,2,2,1,2,1,2,1.0,1.0,1.0,1.0,0,0,1,1,1,1,2,2,2,2,1,3,2,0,2,3,2,3,3,3,1,2,1,2,2,2,0,0,9,0,0,0,0,1,180.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,31.0,31.0,32.0,1,0,2,0,0,0,5,0,0,0,1,1,120.0,0.0,0.0,73.0,32.0,2.0,13.0,0.0,0.0,0.0,Espanya,Santa Coloma de Gramenet,Barcelonès,Barcelona,5,Educació secundària 2
2,2.0,0.0,0.0,0,2,0,0,9,0,1,2,5,2,1,0,1,0,1,1.0,1.0,1,1,3,2,2,3,2,2,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,1,1,1,2,2,2,2,2,2,2,2,0,9147,1,1,1,4,1,2,2,1,2,2,1,2,2,2,1,3,1.0,1.0,1.0,2.0,0,0,1,1,1,1,2,2,2,2,1,3,2,0,2,3,2,3,3,3,1,2,1,2,2,2,0,0,9,0,0,0,0,0,395.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,27.0,27.0,28.0,0,0,1,0,0,0,4,0,0,0,2,1,68.0,0.0,0.0,17.0,33.0,18.0,0.0,0.0,0.0,0.0,Rep.Ruandesa,Madrid,Barcelonès,Fora Cata,2,Formació intrumental 1
4,4.0,1.0,0.0,0,2,0,0,1,1,1,1,1,1,2,2,2,0,9,2.0,2.0,2,1,2,1,3,3,3,3,2,2,2,2,1,2,3,2,2,3,2,3,3,4,2,3,3,3,4,1,1,2,2,1,2,2,2,2,2,2,2,1,9242,3,4,1,2,2,2,1,1,1,2,1,2,3,2,1,3,2.0,3.0,3.0,3.0,1,0,1,1,1,1,2,2,1,2,2,3,2,1,3,3,2,3,3,3,2,2,1,2,2,2,1,1,5,0,1,0,1,0,1995.0,80.6516290726817,92.23057644110276,86.8170426065163,-1.0,-1.0,27.0,36.0,31.0,36.0,0,1,1,0,0,0,11,0,11,0,2,2,1290.0,210.0,0.0,375.0,226.0,240.0,98.0,100.0,0.0,41.0,Espanya,Figueres,Alt Empordà,Girona,4,Formació intrumental 3
2,2.0,0.0,0.0,0,2,0,0,9,0,1,1,1,1,3,2,2,0,9,2.0,2.0,2,1,2,4,4,3,2,3,2,2,2,2,2,3,2,1,2,2,2,2,3,3,2,3,2,3,3,1,2,2,2,2,1,1,1,2,1,2,2,1,9550,1,1,1,4,2,2,2,2,1,2,2,2,1,2,2,4,1.0,1.0,1.0,1.0,0,0,2,2,2,2,2,2,2,2,1,3,2,0,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,0,365.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,36.0,36.0,37.0,0,0,0,0,0,0,3,0,0,0,0,0,489.0,0.0,0.0,104.0,0.0,269.0,0.0,0.0,0.0,116.0,Espanya,Barcelona,Barcelonès,Barcelona,5,Educació secundària 1
4,4.0,0.0,0.0,0,2,0,0,1,1,1,1,1,1,3,2,2,1,9,3.0,3.0,2,1,3,4,3,3,3,3,2,2,2,2,2,3,4,2,2,3,1,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,9383,5,7,2,3,2,2,1,1,1,3,1,2,1,3,2,4,1.0,1.0,1.0,2.0,1,0,2,2,2,2,2,2,2,2,1,3,2,1,3,1,3,3,3,3,2,1,2,2,2,2,0,1,4,0,0,0,1,1,495.0,13.737373737373735,12.727272727272728,32.121212121212125,-1.0,-1.0,49.0,49.0,49.0,50.0,2,0,0,0,0,0,4,0,0,0,0,0,169.0,9.0,0.0,0.0,25.0,76.0,27.0,32.0,0.0,0.0,Espanya,Lleida,Segrià,Lleida,5,Educació secundària 1
4,4.0,1.0,0.0,0,2,0,0,1,1,1,1,1,1,2,2,2,0,9,3.0,3.0,1,1,3,3,3,4,4,3,2,2,2,2,2,3,3,2,2,4,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,90468,6,2,1,2,2,2,2,1,1,3,1,2,1,2,1,2,2.0,2.0,2.0,3.0,1,0,2,2,2,2,2,2,2,2,2,3,2,1,3,2,3,3,3,3,2,1,2,2,2,2,0,1,4,0,0,0,1,0,1381.0,52.643012309920344,67.34250543084721,55.177407675597394,-1.0,-1.0,45.0,54.0,51.0,54.0,0,1,2,0,0,0,5,0,0,0,0,0,1428.0,86.0,0.0,93.0,0.0,1194.0,0.0,25.0,0.0,30.0,Espanya,Salt,Gironès,Girona,4,Formació intrumental 3
4,4.0,1.0,0.0,0,2,0,0,1,1,1,1,1,1,4,1,2,1,9,2.0,3.0,2,1,3,3,3,2,3,3,2,2,2,2,1,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,9138,1,1,1,3,2,2,2,1,1,3,1,2,1,2,2,4,3.0,3.0,3.0,4.0,1,1,1,1,2,1,2,2,2,2,2,3,2,1,3,2,2,3,3,3,2,1,1,2,2,2,1,1,5,0,0,1,1,0,4555.0,51.63556531284303,69.26454445664105,69.72557628979143,-1.0,-1.0,38.0,40.0,38.0,48.0,2,1,0,0,0,0,10,0,0,0,0,2,4314.0,275.0,796.0,698.0,1016.0,1428.0,77.0,24.0,0.0,0.0,Espanya,Lleida,Segrià,Lleida,6,Batxillerat 1
2,2.0,1.0,0.0,1,2,0,0,9,0,1,1,1,1,3,2,2,1,9,2.0,2.0,2,2,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,3,3,4,2,3,3,3,2,1,2,2,2,1,2,1,2,2,2,2,1,1,9237,3,5,2,3,1,2,1,0,2,2,1,2,1,2,2,4,3.0,3.0,3.0,4.0,0,0,1,1,1,1,2,1,2,2,1,3,2,0,2,2,2,3,3,3,1,1,1,2,2,2,0,1,4,0,0,0,1,0,3871.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,36.0,35.0,41.0,1,0,0,0,0,0,18,3,0,0,6,12,917.0,200.0,55.0,49.0,30.0,414.0,0.0,141.0,0.0,28.0,Espanya,Tortosa,Baix Ebre,Tarragona,5,Educació Secundària Assolida
2,2.0,1.0,0.0,0,2,0,0,9,0,1,2,3,1,3,0,2,1,1,2.0,2.0,2,2,1,1,1,3,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,1,2,2,3,1,1,1,2,2,1,1,2,1,1,1,2,0,9556,6,8,2,2,1,2,1,1,2,3,2,2,1,2,1,2,1.0,1.0,1.0,2.0,0,0,2,1,2,1,2,2,1,2,1,3,2,0,3,3,2,3,3,3,2,2,1,2,2,2,0,0,9,0,0,0,0,0,380.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,42.0,42.0,43.0,1,0,5,0,0,0,9,0,3,0,0,1,99.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,Rússia,Barcelona,Barcelonès,Barcelona,5,Educació secundària 1
4,9.0,0.0,0.0,0,2,1,0,2,1,1,2,4,1,2,2,2,0,2,1.0,1.0,2,1,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,1,3,3,2,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,0,9234,3,5,2,2,2,2,2,2,1,2,2,2,1,3,1,3,1.0,1.0,1.0,2.0,1,0,2,2,2,2,2,2,2,2,1,3,2,1,3,2,3,3,3,3,2,1,2,2,2,2,0,0,9,0,0,0,0,0,485.0,18.350515463917525,16.082474226804123,18.969072164948457,47.01030927835052,-1.0,19.0,36.0,28.0,29.0,0,0,1,0,0,0,4,0,0,0,0,0,65.0,0.0,0.0,8.0,49.0,0.0,0.0,0.0,0.0,8.0,Marroc,Girona,Gironès,Girona,4,Formació intrumental 3
2,2.0,0.0,1.0,1,2,0,0,9,0,1,2,5,1,1,2,2,0,1,1.0,2.0,2,9,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,9368,4,6,2,3,2,2,2,2,2,2,2,2,1,2,1,2,3.0,3.0,3.0,4.0,0,0,1,1,1,1,1,2,1,1,4,1,2,0,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,0,2784.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,29.0,26.0,34.0,0,4,2,2,2,0,16,0,1,44,10,4,1710.0,0.0,122.0,271.0,635.0,458.0,211.0,0.0,13.0,0.0,Gàmbia,Sabadell,Vallès Occidental,Barcelona,3,Formació intrumental 2
5,0.0,0.0,0.0,0,1,0,0,9,0,1,1,1,1,3,2,2,0,9,2.0,2.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9623,3,5,2,4,2,2,9,9,9,9,9,2,1,2,1,2,1.0,1.0,1.0,1.0,0,0,2,2,2,2,2,2,2,2,1,3,2,0,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,0,0,0,0,0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,37.0,37.0,37.0,0,0,2,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanya,Barcelona,Barcelonès,Barcelona,5,Educació secundària 1
2,2.0,1.0,0.0,0,1,0,0,9,0,1,2,5,1,1,1,2,1,1,1.0,2.0,2,9,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,9359,4,6,2,3,2,2,2,2,2,2,2,2,1,2,1,2,3.0,3.0,3.0,4.0,1,0,1,1,1,1,2,2,1,2,2,3,2,1,3,3,3,3,3,3,2,2,2,2,2,2,0,1,4,0,0,0,1,0,3499.0,36.924835667333525,41.554729922835094,-1.0,-1.0,-1.0,26.0,36.0,26.0,35.0,1,1,2,0,0,0,14,0,1,0,1,6,2705.0,420.0,734.0,370.0,83.0,1003.0,0.0,95.0,0.0,0.0,Gàmbia,Barcelona,Barcelonès,Barcelona,3,Formació intrumental 2
2,2.0,1.0,0.0,0,2,0,0,9,0,1,1,1,1,3,2,2,1,9,2.0,2.0,2,2,3,3,3,3,3,3,2,2,2,2,1,3,3,2,2,4,2,4,3,3,2,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,1,90171,1,2,1,1,2,2,1,0,1,3,2,2,1,2,2,4,1.0,1.0,1.0,2.0,1,0,2,2,2,2,2,2,2,2,1,3,2,0,3,2,3,3,3,3,2,1,2,2,2,2,1,1,5,0,1,0,1,0,630.0,90.7936507936508,-1.0,-1.0,-1.0,-1.0,42.0,36.0,42.0,44.0,1,0,0,0,0,0,7,0,0,0,0,0,647.0,225.0,0.0,0.0,6.0,250.0,69.0,97.0,0.0,0.0,Espanya,Cornellà de Llobregat,Baix Llobregat,Barcelona,5,Educació secundària 2
4,9.0,0.0,0.0,0,2,1,0,2,1,1,1,1,1,3,2,2,2,9,2.0,2.0,2,2,3,3,3,3,3,3,2,2,2,2,1,3,3,2,2,4,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,9243,3,1,1,3,1,2,2,0,2,3,2,2,3,2,1,3,2.0,3.0,3.0,3.0,1,1,2,2,2,2,2,2,2,2,2,3,2,1,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,0,2190.0,19.315068493150687,19.17808219178082,19.771689497716896,42.28310502283105,-1.0,33.0,38.0,38.0,42.0,3,1,1,0,0,0,7,0,0,0,0,0,178.0,16.0,0.0,12.0,44.0,106.0,0.0,0.0,0.0,0.0,Espanya,Barcelona,Barcelonès,Barcelona,5,Educació secundària 2
4,9.0,0.0,0.0,0,2,1,0,2,1,1,1,1,1,3,2,2,1,9,2.0,3.0,2,1,3,3,3,3,3,3,2,2,2,2,1,3,3,2,2,4,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,9243,3,1,1,3,1,2,2,0,2,3,2,2,3,2,1,3,3.0,3.0,3.0,4.0,1,1,2,2,2,2,1,2,2,2,4,3,1,1,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,0,2555.0,16.555772994129157,16.438356164383563,44.148727984344426,53.9334637964775,-1.0,38.0,43.0,43.0,47.0,2,3,1,1,0,1,9,0,0,0,0,0,588.0,50.0,0.0,12.0,30.0,496.0,0.0,0.0,0.0,0.0,Espanya,Badalona,Barcelonès,Barcelona,5,Educació secundària 2
4,9.0,0.0,0.0,0,2,1,0,2,1,1,1,1,1,2,1,2,1,9,3.0,3.0,2,1,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,4,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,9243,3,1,1,3,1,2,2,0,2,3,2,2,3,2,1,3,2.0,3.0,3.0,3.0,1,1,2,2,2,2,1,2,2,2,4,3,1,1,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,0,2190.0,23.744292237442924,23.378995433789953,14.748858447488583,38.082191780821915,-1.0,57.0,62.0,62.0,66.0,1,3,1,1,0,1,4,0,0,0,0,0,862.0,16.0,0.0,0.0,82.0,324.0,5.0,0.0,0.0,435.0,Espanya,L'Hospitalet de Llobregat,Barcelonès,Barcelona,4,Formació intrumental 3
5,0.0,0.0,1.0,0,2,0,0,9,0,1,1,1,1,2,1,2,1,9,2.0,2.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9625,6,8,2,4,2,2,9,9,9,9,9,2,1,0,1,2,1.0,1.0,1.0,1.0,0,0,2,2,2,2,2,2,2,1,1,3,2,0,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,0,0,0,0,0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,31.0,31.0,31.0,1,0,2,0,0,0,2,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanya,Santa Coloma de Gramenet,Barcelonès,Barcelona,4,Formació intrumental 3
2,2.0,0.0,0.0,0,2,0,0,9,0,1,1,1,1,1,0,2,1,9,1.0,1.0,1,1,4,3,3,3,2,3,2,1,2,2,1,3,3,2,2,3,2,4,3,3,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,0,9238,3,5,2,3,2,2,2,0,1,2,1,2,1,3,1,3,1.0,1.0,1.0,1.0,1,0,1,1,1,1,1,2,2,2,2,3,1,1,3,1,2,3,1,3,2,1,1,2,1,2,0,0,9,0,0,0,0,0,320.0,16.5625,15.9375,-1.0,-1.0,-1.0,20.0,36.0,28.0,29.0,1,1,1,1,0,1,8,0,0,0,1,2,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanya,Esplugues de Llobregat,Baix Llobregat,Barcelona,2,Formació intrumental 1
4,8.0,0.0,0.0,0,2,0,1,1,1,1,1,1,1,2,1,2,0,9,1.0,1.0,2,1,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,2,4,3,3,2,2,2,2,2,2,2,2,1,2,2,2,0,9237,3,5,2,1,1,2,2,0,2,1,2,2,1,3,2,4,1.0,1.0,1.0,2.0,1,0,2,2,2,2,2,2,2,2,1,3,2,1,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,1,638.0,8.620689655172415,8.307210031347962,15.987460815047022,-1.0,27.74294670846395,27.0,36.0,27.0,28.0,0,0,0,0,0,0,4,0,0,0,0,0,131.0,0.0,0.0,26.0,27.0,60.0,18.0,0.0,0.0,0.0,Espanya,Tordera,Maresme,Barcelona,4,Formació intrumental 3
5,0.0,0.0,0.0,0,1,0,0,9,0,2,1,1,1,2,1,2,2,9,2.0,2.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9623,3,5,2,4,2,2,9,9,9,9,9,2,1,2,1,2,1.0,1.0,1.0,1.0,0,0,2,2,2,2,2,2,2,2,1,3,2,0,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,0,0,0,0,0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,36.0,36.0,36.0,4,0,2,0,0,0,2,0,0,0,0,0,15.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,Espanya,Barcelona,Barcelonès,Barcelona,4,Formació intrumental 3
2,2.0,1.0,0.0,0,2,0,0,9,0,1,1,1,1,2,2,2,1,9,2.0,2.0,1,1,2,4,3,1,2,3,2,2,2,2,1,4,3,2,2,3,2,3,3,3,2,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,1,9242,3,4,1,3,2,2,1,0,2,2,1,2,1,2,1,2,2.0,1.0,2.0,2.0,1,0,2,2,2,2,2,2,2,2,2,3,2,1,3,1,3,1,1,1,2,1,2,1,1,1,0,0,9,0,0,0,0,0,1060.0,29.339622641509433,40.471698113207545,-1.0,-1.0,-1.0,25.0,31.0,31.0,34.0,1,1,3,0,0,0,7,0,0,0,0,0,1298.0,0.0,0.0,43.0,387.0,775.0,0.0,43.0,0.0,50.0,Espanya,Blanes,Selva,Girona,4,Formació intrumental 3
4,4.0,0.0,1.0,0,2,0,0,1,1,1,1,1,1,5,1,2,1,9,1.0,2.0,2,2,3,3,3,3,3,3,2,2,2,2,1,3,3,2,2,3,1,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,9139,1,1,1,4,1,2,2,1,2,2,2,2,1,2,2,4,3.0,3.0,3.0,4.0,1,0,1,1,2,1,2,2,2,2,2,3,2,1,3,3,2,3,3,3,2,2,1,2,2,2,1,1,2,0,1,0,0,0,4380.0,67.42009132420091,73.74429223744292,14.292237442922374,-1.0,-1.0,30.0,32.0,30.0,40.0,1,1,0,0,0,0,11,0,0,0,0,7,2752.0,22.0,0.0,451.0,598.0,1598.0,83.0,0.0,0.0,0.0,Espanya,Montornès del Vallès,Vallès Oriental,Barcelona,7,Carreres universitàries
